City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
937,Gamba,GA,77.54,overcast clouds,-2.65,10.0,
944,Sao Joao Da Barra,BR,76.55,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
945,Broken Hill,AU,78.51,light rain,-31.95,141.4333,Royal Exchange Hotel
947,Oriximina,BR,75.13,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
951,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
955,Tual,ID,84.07,moderate rain,-5.6667,132.75,Grand Vilia Hotel
958,Hobyo,SO,76.57,light rain,5.3505,48.5268,Halane Hotel and Restaurent
965,Presidencia Roque Saenz Pena,AR,86.63,clear sky,-26.7852,-60.4388,Hotel Gualok
966,San Pedro,PH,78.1,scattered clouds,14.35,121.0167,Villa Veronica Resort Private Pool
967,Bandarbeyla,SO,75.2,overcast clouds,9.4942,50.8122,JABIR HOTEL
969,Acarau,BR,77.2,overcast clouds,-2.8856,-40.12,castelo pizzaria
973,Poum,NC,80.44,overcast clouds,-20.2333,164.0167,Gîte kajeon
975,Karratha,AU,83.79,broken clouds,-20.7377,116.8463,ibis Styles Karratha
990,Road Town,VG,78.89,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
1001,La Palma,US,78.91,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
1002,Bartica,GY,77.32,broken clouds,6.4,-58.6167,Sloth Island Nature Resort
1005,Samarai,PG,82.78,overcast clouds,-10.6167,150.6667,Nuli Sapi
1006,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
1007,Buin,CL,82.74,clear sky,-33.7333,-70.75,Paihuen
1018,Moranbah,AU,83.34,few clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
1020,Yaan,NG,81.41,overcast clouds,7.3833,8.5667,
1023,Vila Velha,BR,78.94,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
1025,Mount Isa,AU,76.77,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
1030,Kendari,ID,77.88,light rain,-3.945,122.4989,Hotel Wixel
1037,Kavieng,PG,82.11,light rain,-2.5744,150.7967,Nusa Island Retreat
1046,Sinnamary,GF,76.51,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
1047,Nelson Bay,AU,81.28,broken clouds,-32.7167,152.15,Mantra Nelson Bay
1049,Meulaboh,ID,76.21,broken clouds,4.1363,96.1285,Kost Pria
1050,Ballina,AU,78.98,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
1058,Karaton,ID,75.36,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
1060,Saquena,PE,79.97,overcast clouds,-4.6667,-73.5167,
1061,Katherine,AU,79.12,few clouds,-14.4667,132.2667,Pine Tree Motel
1066,Kudahuvadhoo,MV,81.52,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
1070,Atar,MR,79.61,overcast clouds,20.5169,-13.0499,Oumou Elghoura
1071,Harper,LR,79.52,broken clouds,4.375,-7.7169,Screensaver
1082,Bairiki,KI,86.0,light rain,1.3292,172.9752,Tarawa Boutique Hotel
1093,Biak,ID,77.27,overcast clouds,-0.9131,122.8766,Penginapan Kim
1094,Rayong,TH,79.48,scattered clouds,12.8333,101.4333,Suan Palm Garden View Hotel
1101,Ewa Beach,US,80.55,clear sky,21.3156,-158.0072,Uncle Junior Robert
1107,Mogadishu,SO,76.98,overcast clouds,2.0371,45.3438,Hotel Juba
1108,Porto Murtinho,BR,89.51,clear sky,-21.6989,-57.8825,Hotel Pantanal
1111,Puerto Escondido,MX,81.95,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
1124,Emerald,AU,81.34,scattered clouds,-23.5333,148.1667,The Irish Village
1125,Urucara,BR,75.52,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
1128,Kiama,AU,82.26,few clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
1131,Nicoya,CR,83.75,scattered clouds,10.1483,-85.452,Las Cabinas Del Sueño
1136,Camocim,BR,77.2,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
1140,Progreso,MX,75.31,clear sky,21.2833,-89.6667,Playa Linda Hotel
1143,Neiafu,TO,81.68,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
1144,Caravelas,BR,79.59,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
1147,Puerto Leguizamo,CO,83.16,overcast clouds,-0.1934,-74.7819,la casona de juancho
1149,Manaure,CO,80.71,clear sky,11.7751,-72.4445,Hotel Palaaima
