City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country
177,Bengkulu,-3.8004,102.2655,75.97,89,100,3.27,moderate rain,
178,Biltine,14.5333,20.9167,66.06,15,0,10.65,clear sky,
179,Saskylakh,71.9167,114.0833,-17.91,100,100,2.46,overcast clouds,
180,Vestmannaeyjar,63.4427,-20.2734,31.55,62,100,39.03,light snow,
181,Dunedin,-45.8742,170.5036,65.8,74,0,10.0,clear sky,
182,Ljungby,56.8332,13.9408,32.79,56,1,12.46,clear sky,
183,Chato,-2.6378,31.7669,68.63,86,100,7.05,light rain,
184,Atuona,-9.8,-139.0333,78.01,77,9,13.47,clear sky,
185,Mangan,27.5167,88.5333,50.07,66,89,4.21,overcast clouds,
186,Lafiagi,8.8667,5.4167,80.6,11,100,5.82,overcast clouds,
187,Mao,39.8885,4.2658,50.56,81,0,6.91,clear sky,
188,Tobias Barreto,-11.1839,-37.9983,80.17,65,45,15.86,scattered clouds,
189,Yulara,-25.2406,130.9889,73.24,94,75,14.97,broken clouds,
190,Clyde River,70.4692,-68.5914,-19.97,76,40,5.75,scattered clouds,
191,Mecca,21.4267,39.8261,69.39,56,98,3.96,overcast clouds,
192,Puerto Gaitan,4.3133,-72.0816,94.37,27,84,15.35,broken clouds,
193,Ulladulla,-35.35,150.4667,70.77,80,7,1.66,clear sky,
194,Nanortalik,60.1432,-45.2371,17.19,81,100,16.33,light snow,
195,Vitre,48.1178,-1.2058,42.62,91,27,5.84,scattered clouds,
196,Casper,42.8666,-106.3131,50.5,37,0,19.57,clear sky,
197,Mega,4.05,38.3,62.82,32,76,9.33,broken clouds,
198,Santa Rosa,14.3122,121.1114,78.85,80,61,10.2,broken clouds,
199,General Roca,-39.0333,-67.5833,83.62,12,6,25.95,clear sky,
200,Parma,44.8027,10.329,43.95,90,0,3.44,mist,
201,San Carlos De Bariloche,-41.1456,-71.3082,61.25,25,20,19.57,few clouds,
202,Grindavik,63.8424,-22.4338,28.87,50,75,39.12,light snow,
203,Umm Lajj,25.0213,37.2685,65.14,59,89,8.97,overcast clouds,
204,Nurota,40.5614,65.6886,32.09,76,8,6.58,clear sky,
205,Danilov,58.1908,40.1717,18.9,95,100,8.48,overcast clouds,
206,Tiksi,71.6872,128.8694,-18.0,100,95,4.45,overcast clouds,
207,Maues,-3.3836,-57.7186,76.33,88,100,1.92,overcast clouds,
208,Pontes E Lacerda,-15.2261,-59.3353,76.06,94,96,6.04,overcast clouds,
209,Vila Franca Do Campo,37.7167,-25.4333,56.19,79,55,14.79,broken clouds,
210,Thinadhoo,0.5333,72.9333,81.64,73,75,10.94,broken clouds,
211,Nemuro,43.3236,145.575,15.75,68,45,11.92,scattered clouds,
212,Haines Junction,60.7522,-137.5108,10.35,61,98,11.5,overcast clouds,
213,Sergeyevka,53.88,67.4158,9.21,92,100,10.33,overcast clouds,
214,Hambantota,6.1241,81.1185,76.23,89,26,12.73,scattered clouds,
215,Soderhamn,61.3037,17.0592,27.99,69,6,12.91,clear sky,
216,Acapulco,16.8634,-99.8901,84.02,74,0,9.22,clear sky,
217,Greymouth,-42.4667,171.2,66.99,64,58,1.68,broken clouds,
218,Chokurdakh,70.6333,147.9167,-30.15,92,17,2.53,few clouds,
219,Salalah,17.0151,54.0924,71.69,68,0,3.44,clear sky,
220,Samoded,63.6083,40.5111,10.67,96,100,4.83,overcast clouds,
221,Carnarvon,-24.8667,113.6333,78.87,78,75,18.41,broken clouds,
222,Constitucion,-35.3333,-72.4167,67.8,65,7,20.07,clear sky,
223,Bardiyah,31.7561,25.0865,56.39,70,59,24.74,broken clouds,
224,Saint-Georges,12.0564,-61.7485,82.08,74,75,18.41,broken clouds,
225,Maceio,-9.6658,-35.7353,85.44,74,75,11.5,broken clouds,
226,Sobolevo,54.4299,31.8996,31.35,89,98,8.93,overcast clouds,
227,Shestakovo,56.4915,103.96,-1.91,100,100,2.42,overcast clouds,
228,Flinders,-34.5833,150.8552,70.38,89,21,1.68,few clouds,
229,Kamariotissa,40.4833,25.4667,41.02,52,98,12.21,overcast clouds,
230,Deputatskiy,69.3,139.9,-25.06,99,82,2.71,broken clouds,
231,Gamba,-2.65,10.0,77.65,85,100,2.73,light rain,
232,Rondonopolis,-16.4708,-54.6356,72.61,97,100,3.56,light rain,
233,Piney Green,34.716,-77.3202,46.27,28,0,10.36,clear sky,
234,Sioux Lookout,50.1001,-91.917,8.98,85,100,4.61,overcast clouds,
235,Margate,51.3813,1.3862,44.31,78,100,5.01,overcast clouds,
236,Longyearbyen,78.2186,15.6401,8.44,61,0,21.85,clear sky,
237,Vostok,46.4856,135.8833,-22.16,99,68,3.42,broken clouds,
238,Sao Joao Da Barra,-21.6403,-41.0511,84.29,88,6,10.4,clear sky,
239,Broken Hill,-31.95,141.4333,76.71,69,100,11.5,overcast clouds,
240,Rawson,-43.3002,-65.1023,57.4,50,75,18.68,broken clouds,
241,Oriximina,-1.7656,-55.8661,79.39,84,99,4.27,light rain,
242,Padang,-0.9492,100.3543,75.25,89,100,3.85,overcast clouds,
243,Egvekinot,66.3167,-179.1667,-1.01,64,53,7.83,broken clouds,
244,Naze,28.3667,129.4833,52.29,68,89,19.39,overcast clouds,
245,Kahului,20.8947,-156.47,78.84,55,0,5.75,clear sky,
246,Turukhansk,65.8167,87.9833,-1.21,94,98,9.31,overcast clouds,
247,Bluff,-46.6,168.3333,63.81,87,96,4.9,overcast clouds,
248,Lebu,-37.6167,-73.65,61.3,64,0,19.46,clear sky,
249,Tual,-5.6667,132.75,83.73,78,100,23.09,moderate rain,
250,Adrar,20.5022,-10.0711,77.56,12,100,10.16,overcast clouds,
251,Parbatipur,25.6649,88.9247,58.1,53,0,4.23,clear sky,
252,Hobyo,5.3505,48.5268,76.68,78,93,17.11,light rain,
253,Zhanakorgan,43.9098,67.2495,24.91,71,61,7.78,broken clouds,
254,Saveh,35.0213,50.3566,39.99,41,0,6.69,clear sky,
255,Jennings,38.7192,-90.2604,41.2,53,75,3.0,broken clouds,
256,Talnakh,69.4865,88.3972,-13.88,96,83,8.9,broken clouds,
257,Geraldton,-28.7667,114.6,72.01,88,100,10.36,overcast clouds,
258,Bintulu,3.1667,113.0333,75.61,94,40,0.0,thunderstorm,
259,Presidencia Roque Saenz Pena,-26.7852,-60.4388,100.92,10,0,6.31,clear sky,
260,San Pedro,14.35,121.0167,78.31,85,75,2.3,broken clouds,
261,Bandarbeyla,9.4942,50.8122,75.83,75,95,16.04,overcast clouds,
262,Airai,-8.9266,125.4092,60.76,91,78,3.96,broken clouds,
263,Acarau,-2.8856,-40.12,77.31,84,100,9.31,overcast clouds,
264,Port-Cartier,50.0334,-66.8654,8.82,74,87,12.64,overcast clouds,
265,Matay,28.419,30.7792,51.53,42,4,7.61,clear sky,
266,Quatis,-22.4072,-44.2581,75.04,91,95,2.57,overcast clouds,
267,Poum,-20.2333,164.0167,80.02,76,97,8.61,overcast clouds,
268,San Jose,37.3394,-121.895,66.06,52,0,1.01,clear sky,
269,Karratha,-20.7377,116.8463,82.47,63,63,19.28,broken clouds,
270,Minot,48.2325,-101.2963,34.12,60,0,6.91,clear sky,
271,Brewster,41.3973,-73.6171,26.89,47,0,1.01,clear sky,
272,Chapais,49.7834,-74.8492,2.98,89,100,8.63,overcast clouds,
273,Moose Factory,51.2585,-80.6094,-0.4,65,0,10.36,clear sky,
274,Graaff-Reinet,-32.2522,24.5308,77.92,54,100,5.39,overcast clouds,
275,Kropotkin,45.4375,40.5756,30.56,88,99,7.14,snow,
276,Levelland,33.5873,-102.378,59.2,17,100,11.03,overcast clouds,
277,Tukrah,32.5341,20.5791,54.61,67,100,15.93,overcast clouds,
278,Santiago De Cao,-7.9589,-79.2392,68.13,83,40,10.36,scattered clouds,
279,Suez,29.9737,32.5263,55.33,49,11,4.21,few clouds,
280,Florida,28.7505,-82.5001,60.22,25,0,8.05,clear sky,
281,Thompson,55.7435,-97.8558,6.96,72,20,2.3,few clouds,
282,Itoman,26.1247,127.6694,59.02,63,100,24.16,overcast clouds,
283,Praia,14.9215,-23.5087,70.34,68,75,19.57,broken clouds,
284,Road Town,18.4167,-64.6167,80.69,69,20,8.05,few clouds,
285,Elizabeth City,36.2946,-76.2511,39.02,40,0,10.36,clear sky,
286,Brunsbuttel,53.9,9.15,41.25,83,100,1.99,overcast clouds,
287,Teguajinal,15.3667,-86.6,65.05,99,100,2.71,overcast clouds,
288,Osoyoos,49.0331,-119.4524,36.0,78,99,10.36,overcast clouds,
289,Jiayuguan,39.8167,98.3,15.67,46,100,5.35,overcast clouds,
290,Dolores,-36.3132,-57.6792,82.99,49,49,8.7,scattered clouds,
291,Wilmington,34.2257,-77.9447,45.95,41,0,14.97,clear sky,
292,Henties Bay,-22.116,14.2845,66.85,80,100,5.17,overcast clouds,
293,Fort-Shevchenko,44.5086,50.263,36.7,88,89,10.4,overcast clouds,
294,Riyadh,24.6877,46.7219,59.14,42,0,11.86,clear sky,
295,La Palma,33.8464,-118.0467,78.49,50,0,7.0,clear sky,
296,Bartica,6.4,-58.6167,82.72,77,93,4.45,overcast clouds,
297,Beringovskiy,63.05,179.3167,-9.47,100,100,8.95,overcast clouds,
298,Sao Filipe,14.8961,-24.4956,71.42,73,100,12.8,overcast clouds,
299,Samarai,-10.6167,150.6667,81.03,77,100,8.88,overcast clouds,
300,Saint-Pierre,-21.3393,55.4781,78.48,73,10,10.36,clear sky,
301,Buin,-33.7333,-70.75,86.05,31,0,13.24,clear sky,
302,Tuatapere,-46.1333,167.6833,63.82,74,12,0.63,few clouds,
303,Coquimbo,-29.9533,-71.3436,69.53,68,0,11.5,clear sky,
304,Alibunar,45.0808,20.9658,41.13,64,69,15.01,broken clouds,
305,Victoria,22.2855,114.1577,59.32,76,82,1.99,broken clouds,
306,Shingu,33.7333,135.9833,35.31,79,56,7.0,broken clouds,
307,Kursavka,44.4564,42.5093,31.01,92,18,7.16,few clouds,
308,Pisco,-13.7,-76.2167,75.25,69,75,5.75,broken clouds,
309,Agadez,19.75,10.25,57.85,15,0,12.01,clear sky,
310,Mapiri,-15.25,-68.1667,77.25,76,73,2.73,broken clouds,
311,Aktau,43.65,51.2,36.18,77,100,7.36,overcast clouds,
312,Moranbah,-22.0016,148.0466,74.61,86,16,10.45,few clouds,
313,Szczecinek,53.7079,16.6994,35.6,65,24,17.43,few clouds,
314,Yaan,7.3833,8.5667,80.96,12,100,8.28,overcast clouds,
315,Atbasar,51.8,68.3333,13.78,94,99,13.35,overcast clouds,
316,Mineros,-17.1167,-63.2333,96.39,35,19,1.92,few clouds,
317,Vila Velha,-20.3297,-40.2925,84.15,86,40,1.99,scattered clouds,
318,Miraflores,19.2167,-98.8083,71.02,27,1,4.7,clear sky,
319,Mount Isa,-20.7333,139.5,74.97,100,100,6.91,overcast clouds,
320,Puksoozero,62.5903,40.6066,10.15,96,100,4.76,overcast clouds,
321,Yumen,40.2833,97.2,14.65,44,100,6.6,overcast clouds,
322,Sanger,36.708,-119.556,68.65,54,0,1.01,haze,
323,Villazon,-22.0866,-65.5942,57.15,67,72,18.79,broken clouds,
324,Kendari,-3.945,122.4989,76.6,90,100,2.71,heavy intensity rain,
325,Las Palmas,28.4204,-14.0131,61.59,55,20,9.22,few clouds,
326,Sukumo,32.9333,132.7333,37.0,70,4,8.14,clear sky,
327,Husavik,66.0449,-17.3389,22.91,63,47,30.13,scattered clouds,
328,Abu Zabad,12.35,29.25,62.62,14,4,14.52,clear sky,
329,Burnie,-41.0667,145.9167,64.94,90,16,6.38,few clouds,
330,Piquete,-22.6136,-45.1761,74.08,96,99,2.15,overcast clouds,
331,Kavieng,-2.5744,150.7967,80.98,76,86,1.99,overcast clouds,
332,Bunia,1.5667,30.25,72.88,40,100,6.11,overcast clouds,
333,Varadero,23.1536,-81.2514,61.56,54,0,14.38,clear sky,
334,Kuytun,54.3419,101.5036,-7.1,99,100,2.89,overcast clouds,
335,East Moline,41.5009,-90.4443,31.24,68,0,10.36,clear sky,
336,Nador,35.174,-2.9287,55.65,76,0,4.61,clear sky,
337,Alta Floresta,-9.8756,-56.0861,82.22,74,40,8.05,scattered clouds,
338,Guerrero Negro,27.9769,-114.0611,65.34,52,100,15.03,overcast clouds,
339,Ostrovnoy,68.0531,39.5131,12.61,93,99,8.19,overcast clouds,
340,Sinnamary,5.3833,-52.95,77.36,85,53,11.5,broken clouds,
341,Nelson Bay,-32.7167,152.15,73.96,96,83,3.24,broken clouds,
342,Sur,22.5667,59.5289,71.47,65,0,2.84,clear sky,
343,Meulaboh,4.1363,96.1285,76.96,86,85,3.09,overcast clouds,
344,Ballina,-28.8667,153.5667,73.44,99,40,6.91,scattered clouds,
345,Talcahuano,-36.7167,-73.1167,73.08,53,0,19.57,clear sky,
346,Iwanai,42.9744,140.5089,18.52,66,100,9.75,light snow,
347,Hasaki,35.7333,140.8333,30.6,49,100,16.6,overcast clouds,
348,Nadym,65.5333,72.5167,-4.22,97,100,7.31,overcast clouds,
349,Ust-Ishim,57.6935,71.1665,6.94,97,99,5.55,overcast clouds,
350,Gardner,42.5751,-71.9981,20.07,50,0,18.41,clear sky,
351,High Level,58.5169,-117.136,-0.29,78,100,12.66,light snow,
352,Karaton,-6.3424,106.1045,75.36,93,99,2.42,overcast clouds,
353,Horodnytsya,50.807,27.3168,31.77,96,100,19.04,snow,
354,Saquena,-4.6667,-73.5167,86.94,51,100,4.54,overcast clouds,
